Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
28,Text,1992-03-01,"The Fables of Aesop
Selected, Told Anew, and Their History Traced",en,"Aesop, 621? BCE-565? BCE; Jacobs, Joseph, 1854-1916 [Editor]","Aesop's fables -- Adaptations; Fables, Greek -- Adaptations",PA; PZ,Harvard Classics; Browsing: Culture/Civilization/Society; Browsing: Literature
29,Text,1992-04-01,The 1990 United States Census,en,United States. Bureau of the Census,United States -- Population -- Statistics; United States -- Census; Housing -- United States -- Statistics,HA,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: History - American; Browsing: Sociology
30,Text,1992-04-01,"The Bible, King James Version, Complete",en,,Bible,BS,Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
31,Text,2006-03-08,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,en,"Sophocles, 496? BCE-407 BCE; Storr, Francis, 1839-1919 [Translator]",Tragedies (Drama); Antigone (Mythological character) -- Drama; Oedipus (Greek mythological figure) -- Drama; Greek drama (Tragedy) -- Translations into English,PA,Plays; Best Books Ever Listings; Harvard Classics; Browsing: Literature; Browsing: Performing Arts/Film; Browsing: Fiction
32,Text,2008-06-27,Herland,en,"Gilman, Charlotte Perkins, 1860-1935",Utopias -- Fiction; Women -- Fiction; Utopian fiction; Black humor,PS,Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: Gender & Sexuality Studies; Browsing: Literature; Browsing: Fiction
33,Text,1992-06-01,The Scarlet Letter,en,"Hawthorne, Nathaniel, 1804-1864","Adultery -- Fiction; Historical fiction; Revenge -- Fiction; Psychological fiction; Married women -- Fiction; Clergy -- Fiction; Triangles (Interpersonal relations) -- Fiction; Illegitimate children -- Fiction; Women immigrants -- Fiction; Puritans -- Fiction; Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction",PS,Harvard Classics; Movie Books; Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction
34,Text,1992-06-01,Zen and the Art of the Internet,en,"Kehoe, Brendan P., 1970-2011",Internet; Computer networks; Information networks; Information retrieval,TK,Browsing: Computers & Technology
35,Text,2004-10-02,The Time Machine,en,"Wells, H. G. (Herbert George), 1866-1946",Science fiction; Time travel -- Fiction; Dystopias -- Fiction,PR,Science Fiction; Movie Books; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
36,Text,2004-10-01,The War of the Worlds,en,"Wells, H. G. (Herbert George), 1866-1946",Science fiction; War stories; Martians -- Fiction; Mars (Planet) -- Fiction; Space warfare -- Fiction; Imaginary wars and battles -- Fiction; Life on other planets -- Fiction,PR,Science Fiction; Movie Books; Browsing: History - Warfare; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
37,Text,1992-08-01,The 1990 United States Census [2nd],en,United States. Bureau of the Census,United States -- Population -- Statistics; United States -- Census; Housing -- United States -- Statistics,HA,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: History - American
38,Text,1992-08-01,"The Jargon File, Version 2.9.10, 01 Jul 1992",en,"Raymond, Eric S., 1957- [Editor]; Steele, Guy L., 1954- [Editor]",Electronic data processing -- Terminology -- Humor; Computers -- Humor; Computers -- Slang -- Dictionaries,TK,Browsing: Computers & Technology; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Humour
39,Text,1992-09-01,Hitchhiker's Guide to the Internet,en,"Krol, Ed, 1951-",Internet; Computer networks,TK,Browsing: Computers & Technology
40,Text,1992-09-01,NorthWestNet User Services Internet Resource Guide (NUSIRG),en,"Kochmer, Jonathan",Internet,TK,Browsing: Computers & Technology
41,Text,2008-06-27,The Legend of Sleepy Hollow,en,"Irving, Washington, 1783-1859",Ghosts -- Fiction; New York (State) -- History -- 1775-1865 -- Fiction,PS,Children's Literature; Harvard Classics; Browsing: Children & Young Adult Reading; Browsing: History - American; Browsing: Literature; Browsing: Fiction
42,Text,1992-10-01,The Strange Case of Dr. Jekyll and Mr. Hyde,en,"Stevenson, Robert Louis, 1850-1894",Science fiction; Horror tales; London (England) -- Fiction; Physicians -- Fiction; Psychological fiction; Self-experimentation in medicine -- Fiction; Multiple personality -- Fiction,PR,Precursors of Science Fiction; Horror; Gothic Fiction; Movie Books; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
43,Text,2008-06-27,The Strange Case of Dr. Jekyll and Mr. Hyde,en,"Stevenson, Robert Louis, 1850-1894",Science fiction; Horror tales; London (England) -- Fiction; Physicians -- Fiction; Psychological fiction; Self-experimentation in medicine -- Fiction; Multiple personality -- Fiction,PR,Precursors of Science Fiction; Horror; Movie Books; Browsing: Psychiatry/Psychology; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
44,Text,2008-06-27,The Song of the Lark,en,"Cather, Willa, 1873-1947",Musical fiction; Young women -- Fiction; Bildungsromans; Chicago (Ill.) -- Fiction; Swedish Americans -- Fiction; Colorado -- Fiction; Opera -- Fiction; Children of clergy -- Fiction; Women singers -- Fiction,PS,Opera; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
45,Text,2008-06-27,Anne of Green Gables,en,"Montgomery, L. M. (Lucy Maud), 1874-1942","Orphans -- Fiction; Islands -- Fiction; Friendship -- Fiction; Bildungsromans; Girls -- Fiction; Country life -- Prince Edward Island -- Fiction; Prince Edward Island -- History -- 20th century -- Fiction; Canada -- History -- 1867-1914 -- Fiction; Shirley, Anne (Fictitious character) -- Fiction",PZ,Canada; Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Fiction
46,Text,2004-08-11,A Christmas Carol in Prose; Being a Ghost Story of Christmas,en,"Dickens, Charles, 1812-1870; Leech, John, 1817-1864 [Illustrator]","Christmas stories; London (England) -- Fiction; Poor families -- Fiction; Ghost stories; Misers -- Fiction; Sick children -- Fiction; Scrooge, Ebenezer (Fictitious character) -- Fiction",PR,Children's Literature; Christmas; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Fiction
47,Text,2006-03-08,Anne of Avonlea,en,"Montgomery, L. M. (Lucy Maud), 1874-1942","Orphans -- Fiction; Islands -- Fiction; Teachers -- Fiction; Prince Edward Island -- History -- 20th century -- Fiction; Canada -- History -- 1914-1945 -- Fiction; Shirley, Anne (Fictitious character) -- Fiction",PZ,Canada; Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction
48,Text,1993-01-01,The 1992 CIA World Factbook,en,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",G,CIA World Factbooks; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Politics; Browsing: Travel & Geography
49,Text,1993-01-01,"Surfing the Internet: An Introduction
Version 2.0.2",en,"Polly, Jean Armour",Internet addresses -- Directories; Computer network resources -- Directories; Electronic mail systems -- Directories,TK,Browsing: Computers & Technology
50,Dataset,1993-01-01,Pi,en,"Hemphill, Scott",Mathematics; Pi,QA,Mathematics; Browsing: Mathematics; Browsing: Science - General
51,Text,2006-03-08,Anne of the Island,en,"Montgomery, L. M. (Lucy Maud), 1874-1942","Orphans -- Fiction; Prince Edward Island -- History -- 20th century -- Fiction; Interpersonal relations -- Fiction; Canada -- History -- 1914-1945 -- Fiction; Self-perception -- Fiction; Universities and colleges -- Fiction; Nova Scotia -- History -- 20th century -- Fiction; Shirley, Anne (Fictitious character) -- Fiction",PZ,Canada; Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction
52,Dataset,1993-02-01,The Square Root of 2,en,"Kerr, Stan",Mathematics; Square root,QA,Mathematics; Browsing: Mathematics; Browsing: Science - General
53,Text,1993-02-01,"Workshop on Electronic Texts: Proceedings, 9-10 June 1992",en,"Library of Congress; Daly, James, 1948- [Editor]",Text processing (Computer science) -- Congresses; Electronic books; Electronic publishing -- Congresses,Z,Browsing: Computers & Technology; Browsing: Encyclopedias/Dictionaries/Reference
54,Text,1993-02-01,The Marvelous Land of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919; Neill, John R. (John Rea), 1877-1943 [Illustrator]",Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Conduct of life -- Juvenile fiction; Friendship -- Juvenile fiction; Voyages and travels -- Juvenile fiction; Magic -- Juvenile fiction; Practical jokes -- Juvenile fiction; Youth -- Conduct of life -- Juvenile fiction; Queens -- Juvenile fiction; Kings and rulers -- Juvenile fiction; Witches -- Juvenile fiction; Women soldiers -- Juvenile fiction,PZ,Children's Literature; Fantasy; Browsing: Children & Young Adult Reading; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
55,Text,1993-02-01,The Wonderful Wizard of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919","Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Courage -- Juvenile fiction; Home -- Juvenile fiction; Good and evil -- Juvenile fiction; Dreams -- Juvenile fiction; Gale, Dorothy (Fictitious character) -- Juvenile fiction; Cowardly Lion (Fictitious character) -- Juvenile fiction; Cyclones -- Juvenile fiction; Scarecrow (Fictitious character from Baum) -- Juvenile fiction; Toto (Fictitious character) -- Juvenile fiction; Witches -- Juvenile fiction; Wizard of Oz (Fictitious character) -- Juvenile fiction; Tin Woodman (Fictitious character) -- Juvenile fiction",PZ,Children's Literature; Fantasy; Browsing: Children & Young Adult Reading; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
56,Text,1993-03-01,NREN for All: Insurmountable Opportunity,en,"Polly, Jean Armour",Internet; National Research and Education Network (Computer network),TK,Browsing: Business/Management; Browsing: Computers & Technology
57,Text,1993-03-01,Aladdin and the Magic Lamp,en,Unknown,Fairy tales; Children's stories; Arabs -- Folklore; Folklore -- Arab countries,PZ,Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Literature
58,Text,1993-03-01,Paradise Regained,en,"Milton, John, 1608-1674",English poetry; Epic poetry; Bible. Gospels -- History of Biblical events -- Poetry; Jesus Christ -- Temptation -- Poetry,PR,Browsing: Literature; Browsing: Poetry
59,Text,1993-03-01,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,en,"Descartes, René, 1596-1650; Veitch, John, 1829-1894 [Translator]",Science -- Methodology; Methodology,B,Harvard Classics; Philosophy; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Science - General
60,Text,2006-03-08,The Scarlet Pimpernel,en,"Orczy, Emmuska Orczy, Baroness, 1865-1947","Historical fiction; France -- History -- Revolution, 1789-1799 -- Fiction; Adventure stories; British -- France -- Fiction; Nobility -- Fiction; Blakeney, Percy, Sir (Fictitious character) -- Fiction",PR,Adventure; Best Books Ever Listings; Movie Books; Browsing: History - General; Browsing: Literature; Browsing: Fiction
61,Text,2005-01-25,The Communist Manifesto,en,"Marx, Karl, 1818-1883; Engels, Friedrich, 1820-1895",Socialism; Communism,HX,Politics; Philosophy; Banned Books from Anne Haight's list; Browsing: Philosophy & Ethics; Browsing: Politics; Browsing: Sociology
62,Text,1993-04-01,A Princess of Mars,en,"Burroughs, Edgar Rice, 1875-1950","Science fiction; Mars (Planet) -- Fiction; Princesses -- Fiction; Carter, John (Fictitious character) -- Fiction; Dejah Thoris (Fictitious character) -- Fiction",PS,Science Fiction; Best Books Ever Listings; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
63,Text,1993-04-01,"The Number ""e""",en,Unknown,Mathematics; Mathematical constants,QA,Historical Fiction; Browsing: Mathematics; Browsing: Science - General
64,Text,1993-05-01,The Gods of Mars,en,"Burroughs, Edgar Rice, 1875-1950","Science fiction; Mars (Planet) -- Fiction; Life on other planets -- Fiction; Carter, John (Fictitious character) -- Fiction; Dejah Thoris (Fictitious character) -- Fiction",PS,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
65,Dataset,1993-05-01,"The First 100,000 Prime Numbers",en,Unknown,"Mathematics; Numbers, Prime",QA,Browsing: Mathematics; Browsing: Science - General
66,Text,1993-05-01,The Dawn of Amateur Radio in the U.K. and Greece: A Personal View,en,"Joly, Norman F.",Radio broadcasting,TK,Browsing: Computers & Technology
67,Text,1993-05-01,The Black Experience in America,en,"Coombs, Norman, 1932-",African Americans -- History; Slavery -- United States -- History,E151,Browsing: History - American; Browsing: History - General
68,Text,1993-06-01,The warlord of Mars,en,"Burroughs, Edgar Rice, 1875-1950","Science fiction; Mars (Planet) -- Fiction; Carter, John (Fictitious character) -- Fiction; Dejah Thoris (Fictitious character) -- Fiction",PS,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
69,Text,1993-06-01,"The 32nd Mersenne Prime
Predicted by Mersenne",en,"Slowinski, David","Numbers, Prime; Number theory",QA,Mathematics; Browsing: Mathematics; Browsing: Science - General
70,Text,2004-09-13,What Is Man? and Other Essays,en,"Twain, Mark, 1835-1910",American essays,PS,Browsing: History - American; Browsing: Literature
71,Text,1993-06-01,On the Duty of Civil Disobedience,en,"Thoreau, Henry David, 1817-1862","Civil disobedience; Government, Resistance to",HM; PS,Browsing: Philosophy & Ethics; Browsing: Politics; Browsing: Sociology
72,Text,1993-07-01,"Thuvia, Maid of Mars",en,"Burroughs, Edgar Rice, 1875-1950",Science fiction; Martians -- Fiction; Mars (Planet) -- Fiction,PS,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
73,Text,1993-07-01,The Red Badge of Courage: An Episode of the American Civil War,en,"Crane, Stephen, 1871-1900","Historical fiction; War stories; United States -- History -- Civil War, 1861-1865 -- Fiction; Virginia -- History -- Civil War, 1861-1865 -- Fiction; Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction",PS,"US Civil War; Historical Fiction; Best Books Ever Listings; Bestsellers, American, 1895-1923; Browsing: History - American; Browsing: History - Warfare; Browsing: Literature; Browsing: Fiction"
74,Text,2004-07-01,"The Adventures of Tom Sawyer, Complete",en,"Twain, Mark, 1835-1910","Humorous stories; Bildungsromans; Boys -- Fiction; Male friendship -- Fiction; Adventure stories; Missouri -- Fiction; Sawyer, Tom (Fictitious character) -- Fiction; Child witnesses -- Fiction; Runaway children -- Fiction; Mississippi River Valley -- Fiction",PS,Banned Books from Anne Haight's list; Banned Books List from the American Library Association; Browsing: Children & Young Adult Reading; Browsing: Humour; Browsing: Literature; Browsing: Fiction
75,Text,1993-07-01,E-mail 101,en,"Goodwin, John E.",Electronic mail systems,TK,Browsing: Computers & Technology
76,Text,2004-06-29,Adventures of Huckleberry Finn,en,"Twain, Mark, 1835-1910; Kemble, E. W. (Edward Windsor), 1861-1933 [Illustrator]","Humorous stories; Bildungsromans; Boys -- Fiction; Male friendship -- Fiction; Adventure stories; Missouri -- Fiction; Race relations -- Fiction; Runaway children -- Fiction; Finn, Huckleberry (Fictitious character) -- Fiction; Fugitive slaves -- Fiction; Mississippi River -- Fiction",PS,Best Books Ever Listings; Banned Books from Anne Haight's list; Banned Books List from the American Library Association; Browsing: Culture/Civilization/Society; Browsing: Humour; Browsing: Literature; Browsing: Fiction
77,Text,1993-08-01,The House of the Seven Gables,en,"Hawthorne, Nathaniel, 1804-1864",Historical fiction; Domestic fiction; Paranormal fiction; Haunted houses -- Fiction; Salem (Mass.) -- Fiction,PS,Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction
78,Text,1993-08-01,Tarzan of the Apes,en,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Africa -- Fiction; Fantasy fiction; Adventure stories; British -- Africa -- Fiction; Wild men -- Fiction,PS,Adventure; Movie Books; Browsing: Culture/Civilization/Society; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
79,Text,1993-08-01,Terminal Compromise,en,"Schwartau, Winn, 1952-","Computer security -- Fiction; Didactic fiction; Privacy, Right of -- Fiction; Records -- Access control -- Fiction",PQ,Browsing: Computers & Technology; Browsing: Language & Communication; Browsing: Fiction
80,Text,1993-09-01,The Online World,en,"De Presno, Odd, 1944-",Internet,TK,Browsing: Computers & Technology
81,Text,1993-09-01,The Return of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Adventure stories,PZ; PS,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
82,Text,2008-06-25,Ivanhoe: A Romance,en,"Scott, Walter, 1771-1832","Historical fiction; Knights and knighthood -- Fiction; Love stories; Triangles (Interpersonal relations) -- Fiction; Great Britain -- History -- Richard I, 1189-1199 -- Fiction; Jews -- England -- Fiction; Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction; Anglo-Saxons -- Fiction; Normans -- Great Britain -- Fiction",PR,Historical Fiction; Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: History - Medieval/The Middle Ages; Browsing: Literature; Browsing: Fiction
83,Text,1993-09-01,"From the Earth to the Moon; and, Round the Moon",en,"Verne, Jules, 1828-1905",Science fiction; Space flight to the moon -- Fiction; Moon -- Fiction; Space ships -- Fiction; Manned space flight -- Fiction,PQ,Science Fiction; Movie Books; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
84,Text,1993-10-01,"Frankenstein; Or, The Modern Prometheus",en,"Shelley, Mary Wollstonecraft, 1797-1851","Science fiction; Horror tales; Gothic fiction; Scientists -- Fiction; Monsters -- Fiction; Frankenstein, Victor (Fictitious character) -- Fiction; Frankenstein's monster (Fictitious character) -- Fiction",PR,Gothic Fiction; Movie Books; Precursors of Science Fiction; Science Fiction by Women; Browsing: Culture/Civilization/Society; Browsing: Gender & Sexuality Studies; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
85,Text,1993-10-01,The Beasts of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Jungle animals -- Fiction; Adventure stories,PZ; PS,Adventure; Movie Books; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
86,Text,2004-07-07,A Connecticut Yankee in King Arthur's Court,en,"Twain, Mark, 1835-1910",Fantasy fiction; Satire; Knights and knighthood -- Fiction; Arthurian romances -- Adaptations; Time travel -- Fiction; Americans -- Great Britain -- Fiction; Kings and rulers -- Fiction; Britons -- Fiction,PS,Precursors of Science Fiction; Arthurian Legends; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
87,Text,1993-10-01,The 1993 CIA World Factbook,en,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",G,CIA World Factbooks; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Politics; Browsing: Travel & Geography
88,Text,1993-11-01,Price/Cost Indexes from 1875 to 1989; Estimated to 2010,en,"Hart, Michael, 1947-2011",Cost and standard of living,HG,Browsing: Economics; Browsing: Sociology
89,Text,1993-11-01,"North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions",en,Canada,"Canada. Treaties, etc. 1992 Oct. 7; Tariff -- Law and legislation -- North America; Free trade -- North America; Foreign trade regulation -- North America; Free trade -- United States; Free trade -- Canada; Free trade -- Mexico",KDZ,Browsing: Economics; Browsing: Law & Criminology; Browsing: Politics
90,Text,1993-11-01,The Son of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Adventure stories,PZ; PS,Adventure; Movie Books; Contemporary Reviews; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
